Type,Family,Cost,Cut Length,Structural Material,Count
IPE 220,IPE - Secciones en I con alas paralelas,310,824,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,824,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,824,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,2259,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,1937,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,1766,Metal - Acero - 345 MPa,1
HE140B,H-Wide Flange Beams,150,698,Metal - Acero - 345 MPa,1
CHS114.3x6.3,CHS-Circular Hollow Sections,265,3779,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,936,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,937,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,937,Metal - Acero - 345 MPa,1
IPE 220,IPE - Secciones en I con alas paralelas,310,937,Metal - Acero - 345 MPa,1
CHS168.3x10,CHS-Circular Hollow Sections,205,4215,Metal - Acero - 345 MPa,1
CHS139.7x6.3,CHS-Circular Hollow Sections,101,4009,Metal - Acero - 345 MPa,1
CHS88.9x6.3,CHS-Circular Hollow Sections,80,2783,Metal - Acero - 345 MPa,1
CHS168.3x10,CHS-Circular Hollow Sections,205,3606,Metal - Acero - 345 MPa,1
CHS168.3x10,CHS-Circular Hollow Sections,205,3980,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2904,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1165,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1301,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1316,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2921,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1165,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1323,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1339,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2904,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1165,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1301,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1179,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,1316,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2904,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,840,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,840,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,757,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,757,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2904,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,408,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,757,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,757,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2904,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,408,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,757,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,757,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2904,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,404,Metal - Acero - 345 MPa,1
IPE 270,IPE - Secciones en I con alas paralelas,270,408,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,2904,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,840,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,840,Metal - Acero - 345 MPa,1
IPE 300,IPE - Secciones en I con alas paralelas,250,757,Metal - Acero - 345 MPa,1
